央视频道,#genre#
CCTV1,http://cctvalih5ca.v.myalicdn.com/live/cctv1_2/index.m3u8
CCTV2,http://cctvalih5ca.v.myalicdn.com/live/cctv2_2/index.m3u8
CCTV3,http://cctvalih5ca.v.myalicdn.com/live/cctv3_2/index.m3u8
CCTV4,http://cctvalih5ca.v.myalicdn.com/live/cctv4_2/index.m3u8
CCTV5,http://cctvalih5ca.v.myalicdn.com/live/cctv5_2/index.m3u8
CCTV6,http://cctvalih5ca.v.myalicdn.com/live/cctv6_2/index.m3u8
CCTV7,http://cctvalih5ca.v.myalicdn.com/live/cctv7_2/index.m3u8
CCTV8,http://cctvalih5ca.v.myalicdn.com/live/cctv8_2/index.m3u8
CCTV9,http://cctvalih5ca.v.myalicdn.com/live/cctvjilu_2/index.m3u8
CCTV10,http://cctvalih5ca.v.myalicdn.com/live/cctv10_2/index.m3u8
CCTV11,http://cctvalih5ca.v.myalicdn.com/live/cctv11_2/index.m3u8
CCTV12,http://cctvalih5ca.v.myalicdn.com/live/cctv12_2/index.m3u8
CCTV13,http://cctvalih5ca.v.myalicdn.com/live/cctv13_2/index.m3u8
CCTV14 8M1080,http://39.134.39.39/PLTV/88888888/224/3221226232/index.m3u8
CCTV15 8M1080,http://39.134.39.39/PLTV/88888888/224/3221226234/index.m3u8
CCTV-17蓝光,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226990/1.m3u8
美丽中国4K,https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/9891cea600df4e8a83851b1b1ce23194/8000.m3u8
卫视频道,#genre#
湖南卫视,http://ivi.bupt.edu.cn/hls/hunanhd.m3u8
东方卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/dongfang_2/index.m3u8
江苏卫视,http://ivi.bupt.edu.cn/hls/jshd.m3u8
北京卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/btv1_2/index.m3u8
安徽卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/anhui_2/index.m3u8
辽宁卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/liaoning_2/index.m3u8
广西卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/guangxi_2/index.m3u8
广东卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/guangdong_2/index.m3u8
